name;birthday;nationality
Tom Hanks;1956-07-09;USA
Julia Roberts;1967-10-28;USA
Wagner Moura;1976-06-27;BRAZIL
Meryl Streep;1949-06-22;USA
Natalie Portman;1981-06-09;USA
Denzel Washington;1954-12-28;USA
Marion Cotillard;1975-09-30;FRANCE
Idris Elba;1972-09-06;UK
Cate Blanchett;1969-05-14;AUSTRALIA
Penélope Cruz;1974-04-28;SPAIN
Javier Bardem;1969-03-01;SPAIN
Chris Hemsworth;1983-08-11;AUSTRALIA
Scarlett Johansson;1984-11-22;USA
Morgan Freeman;1937-06-01;USA
Robert De Niro;1943-08-17;USA
Al Pacino;1940-04-25;USA
Angelina Jolie;1975-06-04;USA
Christian Bale;1974-01-30;UK
Emma Stone;1988-11-06;USA
Hugh Jackman;1968-10-12;AUSTRALIA
Ryan Gosling;1980-11-12;CANADA
Anne Hathaway;1982-11-12;USA
Mahershala Ali;1974-02-16;USA
Gal Gadot;1985-04-30;ISRAEL
Rami Malek;1981-05-12;USA
Tilda Swinton;1960-11-05;UK
Daniel Day-Lewis;1957-04-29;UK
Lupita Nyong'o;1983-03-01;MEXICO
Fernanda Montenegro;1929-10-16;BRAZIL
Rodrigo Santoro;1975-08-22;BRAZIL
Sônia Braga;1950-06-08;BRAZIL
Alice Braga;1983-04-15;BRAZIL
Selton Mello;1972-12-30;BRAZIL
Marieta Severo;1946-11-02;BRAZIL
Caio Blat;1980-06-02;BRAZIL
Cauã Reymond;1980-05-20;BRAZIL
Bruno Gagliasso;1982-04-13;BRAZIL
Débora Falabella;1979-02-22;BRAZIL
Murilo Benício;1971-07-13;BRAZIL
Camila Pitanga;1977-06-14;BRAZIL
Tony Ramos;1948-08-25;BRAZIL
Cléo Pires;1982-10-02;BRAZIL